,,x2,,,x2.1,,,x6,,,x7,,,x8,,,,x9,,,x15,,,x16,,,x20,,,x21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data input / Output [ka cal BP],Artigas moraine Terrestrial Moss ages,,,Shetland-I Terrestrial Moss ages,,,Potter Peninsula - Terrestrial / Marine max. ages,,,BIC Foreland Moraines max. ages,,,KGI Advance max. ages,,,Readvance phase,KGI Retreat min. ages,,,Fildes lakes: basal ages,,,Fildes lakes: aquatic moss ages,,,Kaplan et al. (2020): JRI Advance ages,,,Kaplan et al. (2020): JRI Retreat ages,,,
,n,13,,,35,,,29,,,43,,,80,,,,28,,,10,,,23,,,31,,,22,,,
,numMix,10,,,40,,,30,,,50,,,80,,,,40,,,15,,,20,,,30,,,20,,,
,Probability,0.95,,,0.95,,,0.95,,,0.95,,,0.95,,,,0.95,,,0.95,,,0.95,,,0.95,,,0.95,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
,Phase 1 ,1.14,–,1.44,0.22,–,0.37,1.42,–,2.23,0.07,–,1.49,0.19,–,1.50,3,0.15,–,7.00,5.75,–,8.65,-0.01,–,0.97,0.05,–,0.53,2.73,–,4.25,
,Phase 2 ,1.69,–,2.05,0.42,–,0.89,6.99,–,8.23,1.67,–,2.24,1.68,–,2.47,2.4,1.12,–,2.03,9.21,–,10.02,1.03,–,1.53,1.18,–,2.17,4.37,–,5.93,
,Phase 3 ,,,,0.92,–,1.38,9.29,–,10.06,2.59,–,3.00,2.51,–,2.98,2.3,4.90,–,8.60,10.39,–,11.11,1.88,–,2.44,2.61,–,3.07,7.17,–,11.05,
,Phase 4 ,,,,1.67,–,2.20,,,,3.13,–,3.49,3.30,–,3.87,2.2,9.44,–,10.10,,,,3.33,–,3.83,3.22,–,5.91,11.46,–,12.26,
,Phase 5 ,,,,2.59,–,3.06,,,,5.27,–,6.32,4.52,–,4.75,2.1,,,,,,,4.28,–,5.25,6.16,–,7.73,,,,
,Phase 6 ,,,,3.19,–,3.58,,,,6.54,–,6.80,5.26,–,5.60,,,,,,,,5.40,–,5.94,7.83,–,8.46,,,,
,Phase 7 ,,,,,,,,,,,,,5.64,–,6.31,,,,,,,,6.17,–,6.66,,,,,,,
,Phase 8,,,,,,,,,,,,,6.42,–,6.63,1,,,,,,,6.94,–,7.41,,,,,,,
,Phase 9,,,,,,,,,,,,,7.31,–,8.02,,,,,,,,,,,,,,,,,
,Phase 10,,,,,,,,,,,,,9.54,–,9.73,,,,,,,,,,,,,,,,,
,Probability,0.68,,,0.68,,,0.68,,,0.68,,,0.68,,,,0.68,,,0.68,,,0.68,,,0.68,,,0.68,,,
,Phase 1 ,1.79,–,1.98,0.56,–,0.65,7.28,–,7.83,0.51,–,0.78,0.63,–,0.72,,1.31,–,1.77,5.87,–,7.22,-0.01,–,0.15,0.05,–,0.36,2.95,–,3.61,
,Phase 2 ,,,,1.10,–,1.34,,,,1.13,–,1.43,1.20,–,1.44,,2.37,–,2.98,7.92,–,8.45,0.26,–,0.34,1.41,–,1.93,5.09,–,5.57,
,Phase 3 ,,,,1.76,–,2.16,,,,1.73,–,2.09,1.74,–,2.20,,3.41,–,3.50,10.64,–,10.78,0.64,–,0.88,3.44,–,5.05,7.46,–,8.59,
,Phase 4 ,,,,2.64,–,2.85,,,,2.66,–,2.90,2.95,–,2.91,,5.05,–,5.66,,,,1.13,–,1.40,6.87,–,7.41,9.30,–,10.27,
,Phase 5 ,,,,,,,,,,3.32,–,3.38,6.09,–,6.21,,5.96,–,7.51,,,,2.04,–,2.28,,,,,,,
,Phase 6 ,,,,,,,,,,5.35,–,5.46,7.36,–,7.91,,7.93,–,8.09,,,,3.50,–,3.61,,,,,,,
,Phase 7 ,,,,,,,,,,6.05,–,6.22,,,,,,,,,,,4.37,–,4.66,,,,,,,
,Phase 8,,,,,,,,,,,,,,,,,,,,,,,4.79,–,5.09,,,,,,,
,Phase 9,,,,,,,,,,,,,,,,,,,,,,,5.55,–,5.85,,,,,,,
,Phase 10,,,,,,,,,,,,,,,,,,,,,,,7.21,–,7.27,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
